model,rmse,mae,r2,ci
Ridge,0.7895834650529673,0.5382459450127326,0.11367601846191477,0.6674163641360159
RandomForest,0.6519710792650646,0.3993538130244825,0.39569933402846524,0.8149204604389088
XGBoost,0.6450679428535334,0.4039027406833371,0.40842838155339634,0.8161090598029229
